Feature
SWTP Total Influent Flow
SWTP Plant 1 Influent Flow
SWTP Plant 1 Gravity Flow
SWTP Plant 2 Influent Flow
SW_Peak_Flow
Total Rainfall (in)
Airport Rainfall (in)
Airport_Springfield Rainfall (in)
Airport_West Rainfall (in)
AT&T Rainfall (in)
Bingham Rainfall (in)
Blackman Rainfall (in)
Cherokee Rainfall (in)
Disney Rainfall (in)
English Rainfall (in)
Field Rainfall (in)
Fire Rainfall (in)
Hiland Rainfall (in)
James Rainfall (in)
Jefferies Rainfall (in)
Le Rainfall (in)
Mark Rainfall (in)
Millwood Rainfall (in)
NW Rainfall (in)
Pittman Rainfall (in)
Pleasant Rainfall (in)
Republic Rainfall (in)
River Rainfall (in)
Roundtree Rainfall (in)
Rutledge Rainfall (in)
Sequiota Rainfall (in)
Shady Rainfall (in)
Sherwood Rainfall (in)
Strafford Rainfall (in)
Sunshine Rainfall (in)
Valley Rainfall (in)
Waste Rainfall (in)
Weller Rainfall (in)
Westport Rainfall (in)
Willard Rainfall (in)
Willard_Intermediate Rainfall (in)
Williams Rainfall (in)
Total 72 Hour Rainfall Aggregate
Total 96 Hour Rainfall Aggregate
Total 120 Hour Rainfall Aggregate
Total 144 Hour Rainfall Aggregate
Total 168 Hour Rainfall Aggregate
Airport 72 Hour Rainfall Aggregate
Airport 96 Hour Rainfall Aggregate
Airport 120 Hour Rainfall Aggregate
Airport 144 Hour Rainfall Aggregate
Airport 168 Hour Rainfall Aggregate
Airport_Springfield 72 Hour Rainfall Aggregate
Airport_Springfield 96 Hour Rainfall Aggregate
Airport_Springfield 120 Hour Rainfall Aggregate
Airport_Springfield 144 Hour Rainfall Aggregate
Airport_Springfield 168 Hour Rainfall Aggregate
Airport_West 72 Hour Rainfall Aggregate
Airport_West 96 Hour Rainfall Aggregate
Airport_West 120 Hour Rainfall Aggregate
Airport_West 144 Hour Rainfall Aggregate
Airport_West 168 Hour Rainfall Aggregate
AT&T 72 Hour Rainfall Aggregate
AT&T 96 Hour Rainfall Aggregate
AT&T 120 Hour Rainfall Aggregate
AT&T 144 Hour Rainfall Aggregate
AT&T 168 Hour Rainfall Aggregate
Bingham 72 Hour Rainfall Aggregate
Bingham 96 Hour Rainfall Aggregate
Bingham 120 Hour Rainfall Aggregate
Bingham 144 Hour Rainfall Aggregate
Bingham 168 Hour Rainfall Aggregate
Blackman 72 Hour Rainfall Aggregate
Blackman 96 Hour Rainfall Aggregate
Blackman 120 Hour Rainfall Aggregate
Blackman 144 Hour Rainfall Aggregate
Blackman 168 Hour Rainfall Aggregate
Cherokee 72 Hour Rainfall Aggregate
Cherokee 96 Hour Rainfall Aggregate
Cherokee 120 Hour Rainfall Aggregate
Cherokee 144 Hour Rainfall Aggregate
Cherokee 168 Hour Rainfall Aggregate
Disney 72 Hour Rainfall Aggregate
Disney 96 Hour Rainfall Aggregate
Disney 120 Hour Rainfall Aggregate
Disney 144 Hour Rainfall Aggregate
Disney 168 Hour Rainfall Aggregate
English 72 Hour Rainfall Aggregate
English 96 Hour Rainfall Aggregate
English 120 Hour Rainfall Aggregate
English 144 Hour Rainfall Aggregate
English 168 Hour Rainfall Aggregate
Field 72 Hour Rainfall Aggregate
Field 96 Hour Rainfall Aggregate
Field 120 Hour Rainfall Aggregate
Field 144 Hour Rainfall Aggregate
Field 168 Hour Rainfall Aggregate
Fire 72 Hour Rainfall Aggregate
Fire 96 Hour Rainfall Aggregate
Fire 120 Hour Rainfall Aggregate
Fire 144 Hour Rainfall Aggregate
Fire 168 Hour Rainfall Aggregate
Hiland 72 Hour Rainfall Aggregate
Hiland 96 Hour Rainfall Aggregate
Hiland 120 Hour Rainfall Aggregate
Hiland 144 Hour Rainfall Aggregate
Hiland 168 Hour Rainfall Aggregate
James 72 Hour Rainfall Aggregate
James 96 Hour Rainfall Aggregate
James 120 Hour Rainfall Aggregate
James 144 Hour Rainfall Aggregate
James 168 Hour Rainfall Aggregate
Jefferies 72 Hour Rainfall Aggregate
Jefferies 96 Hour Rainfall Aggregate
